Route Name,Date,Operation,Task Status,Planned/Adhoc,Zone,Service Point,Asset Types,Completed Asset Types,Asset Collects
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-3929,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-2680,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1146,"1100L, 240L",240L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,To Do,Planned,Albada  Zone-2,Z2-BDB-1203,"1100L, 240L",,
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1205,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1206,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1210,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1211,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-3943,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-2674,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0919,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-2739,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-2612,"1100L, 240L",240L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0454,"1100L, 240L",240L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-4994,"1100L, 240L",240L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,To Do,Planned,Albada  Zone-2,Z2-BDB-0370,"1100L, 240L",,
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-5970,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-4193,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0182,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0365,"1100L, 240L",240L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,To Do,Planned,Albada  Zone-2,Z2-BDB-1768,"1100L, 240L",,
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-5626,"1100L, 240L",240L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1873,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-3934,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,To Do,Planned,Albada  Zone-2,Z2-BDB-1241,"1100L, 240L",,
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-2341,"1100L, 240L",240L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1010,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1123,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0578,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-2500,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0790,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0515,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-5883,"1100L, 240L",240L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-2191,"1100L, 240L",240L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-5882,"1100L, 240L",240L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-5879,"1100L, 240L",240L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-5895,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,To Do,Planned,Albada  Zone-2,Z2-BDB-1731,"1100L, 240L",,
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0754,"1100L, 240L",240L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0755,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0756,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0758,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0953,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0759,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0760,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Visited,Planned,Albada  Zone-2,Z2-BDB-0761,"1100L, 240L",,
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,To Do,Planned,Albada  Zone-2,Z2-BDB-5638,"1100L, 240L",,
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0762,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0954,"1100L, 240L",1100L,1
Zone 2 B (Day) - V 2.0,6/1/2026,Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0849,"1100L, 240L",1100L,1
